Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,127.050003,127.750000,126.099998,127.580002,126.610878,704500
2018-09-18,127.570000,127.900002,126.139999,126.599998,125.638321,352900
2018-09-19,126.800003,127.160004,125.029999,125.440002,124.487137,451000
2018-09-20,125.470001,126.510002,124.820000,126.239998,125.281052,464800
2018-09-21,126.029999,128.169998,125.830002,126.800003,125.836807,1484500
2018-09-24,126.459999,127.160004,123.639999,124.349998,123.405411,397200
2018-09-25,124.320000,124.709999,122.720001,123.239998,122.303841,608900
2018-09-26,123.290001,123.830002,122.269997,122.430000,121.500000,711900
2018-09-27,122.120003,123.879997,121.769997,122.730003,122.730003,599900
2018-09-28,122.849998,125.889999,122.849998,125.790001,125.790001,792800
2018-10-01,125.379997,126.029999,123.150002,123.360001,123.360001,675100
2018-10-02,123.480003,123.870003,122.669998,123.400002,123.400002,359900
2018-10-03,123.400002,124.459999,121.930000,122.980003,122.980003,510500
2018-10-04,122.459999,122.970001,121.070000,122.660004,122.660004,403900
2018-10-05,122.820000,123.820000,122.650002,122.879997,122.879997,502800
2018-10-08,123.050003,126.120003,122.970001,125.349998,125.349998,852700
2018-10-09,125.160004,126.000000,123.900002,125.959999,125.959999,811500
2018-10-10,125.389999,126.889999,124.699997,124.709999,124.709999,724700
2018-10-11,125.000000,125.010002,119.559998,119.790001,119.790001,1062900
2018-10-12,120.709999,121.500000,119.239998,120.040001,120.040001,872000
2018-10-15,119.500000,123.019997,119.500000,121.059998,121.059998,642900
2018-10-16,121.540001,123.839996,120.980003,123.449997,123.449997,586316
