"date","close","volume","open","high","low"
"16:00","287.40","74,119,800","287.39","288.86","286.77"
"2018/10/08","287.8200","87632150.0000","287.0500","288.2200","285.5000"
"2018/10/05","287.8200","105802000.0000","289.6900","290.2700","286.2200"
"2018/10/04","289.4400","111364900.0000","291.1800","291.2400","287.6600"
"2018/10/03","291.7200","64562270.0000","292.7400","293.2100","291.3200"
"2018/10/02","291.5600","47142170.0000","291.5600","292.3550","291.1400"
"2018/10/01","291.7300","61989950.0000","292.1100","292.9300","290.9800"
"2018/09/28","290.7200","70041610.0000","289.9900","291.2800","289.9500"
"2018/09/27","290.6900","59169340.0000","290.4100","291.9100","290.1000"
"2018/09/26","289.8800","79534430.0000","290.9100","292.2400","289.4100"
"2018/09/25","290.7500","44311990.0000","291.5300","291.6500","290.4833"
"2018/09/24","291.0200","53235550.0000","291.3400","291.5000","290.3700"
"2018/09/21","291.9900","105393700.0000","293.0900","293.2200","291.8100"
"2018/09/20","293.5800","100066700.0000","292.6400","293.9400","291.2363"
"2018/09/19","291.2200","48973100.0000","290.9700","291.6900","290.8250"
"2018/09/18","290.9100","61839370.0000","289.5800","291.5800","289.5500"
"2018/09/17","289.3400","67988580.0000","290.8200","290.8600","289.0300"
"2018/09/14","290.8800","54931910.0000","291.0600","291.2700","290.0000"
"2018/09/13","290.8300","50918630.0000","290.3200","291.0384","289.9950"
"2018/09/12","289.1200","59732730.0000","289.0600","289.8000","288.2300"
"2018/09/11","289.0500","50392160.0000","287.3700","289.5500","286.9750"
"2018/09/10","288.1000","49916740.0000","288.7400","289.0400","287.8800"
"2018/09/07","287.6000","72113310.0000","286.9800","288.7000","286.7100"
"2018/09/06","288.1600","65822170.0000","289.1500","289.4900","287.0000"
"2018/09/05","289.0300","71962480.0000","289.4100","289.6400","287.8900"
"2018/09/04","289.8100","57127320.0000","289.8400","290.2100","288.6800"
"2018/08/31","290.3100","65239910.0000","289.8400","290.8100","289.2900"
"2018/08/30","290.3000","61132280.0000","290.9400","291.3600","289.6300"
